,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-07-28,538.0,1.0,20180829010004.0,1.0,13.0,4.0,607.0,26.0,80.0
1,2020-07-29,535.0,2.0,20180829010004.0,1.0,19.0,4.0,601.0,27.0,82.0
2,2020-07-30,533.0,3.0,20180829010004.0,1.0,21.0,3.0,603.0,28.0,82.0
3,2020-07-31,529.0,4.0,20180829010004.0,1.0,22.0,4.0,610.0,29.0,79.0
4,2020-08-01,503.0,5.0,20180829010004.0,1.0,23.0,4.0,609.0,29.0,78.0
5,2020-08-02,524.0,6.0,20180829010004.0,1.0,25.0,4.0,606.0,27.0,78.0
6,2020-08-03,496.0,7.0,20180829010004.0,1.0,25.0,4.0,607.0,27.0,80.0
7,2020-08-04,512.0,8.0,20180829010004.0,1.0,26.0,4.0,610.0,29.0,81.0
8,2020-08-05,512.0,9.0,20180829010004.0,1.0,28.0,4.0,605.0,28.0,82.0
9,2020-08-06,510.0,10.0,20180829010004.0,1.0,29.0,5.0,604.0,27.0,82.0
10,2020-08-07,512.0,11.0,20180829010004.0,1.0,29.0,4.0,607.0,26.0,82.0
11,2020-08-08,498.0,12.0,20180829010004.0,1.0,28.0,5.0,610.0,26.0,82.0
12,2020-08-09,508.0,13.0,20180829010004.0,1.0,31.0,4.0,627.0,28.0,82.0
13,2020-08-10,496.0,14.0,20180829010004.0,1.0,29.0,4.0,620.0,28.0,82.0
14,2020-08-11,501.0,15.0,20180829010004.0,1.0,28.0,4.0,609.0,27.0,82.0
15,2020-08-12,491.0,16.0,20180829010004.0,1.0,24.0,4.0,609.0,29.0,82.0
16,2020-08-13,495.0,17.0,20180829010004.0,1.0,29.0,5.0,610.0,31.0,82.0
17,2020-08-14,499.0,18.0,20180829010004.0,1.0,19.0,4.0,612.0,31.0,82.0
18,2020-08-15,483.0,19.0,20180829010004.0,1.0,22.0,5.0,610.0,29.0,82.0
19,2020-08-16,491.0,20.0,20180829010004.0,1.0,27.0,5.0,628.0,30.0,82.0
20,2020-08-17,488.0,21.0,20180829010004.0,1.0,31.0,3.0,625.0,30.0,82.0
21,2020-08-18,487.0,22.0,20180829010004.0,1.0,31.0,5.0,612.0,30.0,78.0
22,2020-08-19,532.0,23.0,20180829010004.0,1.0,31.0,5.0,613.0,29.0,72.0
23,2020-08-20,488.0,24.0,20180829010004.0,1.0,31.0,5.0,619.0,30.0,63.0
24,2020-08-21,490.0,25.0,20180829010004.0,1.0,27.0,5.0,616.0,30.0,71.0
25,2020-08-22,489.0,26.0,20180829010004.0,1.0,31.0,5.0,609.0,28.0,82.0
26,2020-08-23,483.0,27.0,20180829010004.0,1.0,26.0,6.0,599.0,27.0,82.0
27,2020-08-24,493.0,28.0,20180829010004.0,1.0,28.0,6.0,598.0,29.0,82.0
28,2020-08-25,503.0,29.0,20180829010004.0,1.0,29.0,6.0,613.0,31.0,75.0
29,2020-08-26,490.0,30.0,20180829010004.0,1.0,30.0,5.0,616.0,32.0,78.0
30,2020-08-27,477.0,31.0,20180829010004.0,1.0,26.0,5.0,632.0,31.0,82.0
31,2020-08-28,501.0,32.0,20180829010004.0,1.0,26.0,5.0,624.0,31.0,81.0
