,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-01-21,621.0,1.0,20170710010068.0,2.0,88.0,5.0,,,
1,2020-01-22,623.0,2.0,20170710010068.0,2.0,78.0,6.0,,,
2,2020-01-23,616.0,3.0,20170710010068.0,2.0,78.0,6.0,,,
3,2020-01-24,637.0,4.0,20170710010068.0,2.0,80.0,6.0,,,
4,2020-01-25,621.0,5.0,20170710010068.0,2.0,82.0,6.0,,,
5,2020-01-26,624.0,6.0,20170710010068.0,2.0,80.0,6.0,,,
6,2020-01-27,626.0,7.0,20170710010068.0,2.0,82.0,7.0,,,
7,2020-01-28,632.0,8.0,20170710010068.0,2.0,84.0,7.0,,,
8,2020-01-29,625.0,9.0,20170710010068.0,2.0,84.0,7.0,,,
9,2020-01-30,625.0,10.0,20170710010068.0,2.0,82.0,7.0,,,
10,2020-01-31,625.0,11.0,20170710010068.0,2.0,80.0,7.0,,,
11,2020-02-01,622.0,12.0,20170710010068.0,2.0,78.0,7.0,,,
12,2020-02-02,622.0,13.0,20170710010068.0,2.0,80.0,7.0,,,
13,2020-02-03,635.0,14.0,20170710010068.0,2.0,76.0,7.0,,,
14,2020-02-04,643.0,15.0,20170710010068.0,2.0,80.0,8.0,,,
15,2020-02-05,635.0,16.0,20170710010068.0,2.0,82.0,8.0,,,
16,2020-02-06,627.0,17.0,20170710010068.0,2.0,84.0,8.0,,,
17,2020-02-07,640.0,18.0,20170710010068.0,2.0,84.0,8.0,,,
18,2020-02-08,636.0,19.0,20170710010068.0,2.0,80.0,8.0,,,
19,2020-02-09,637.0,20.0,20170710010068.0,2.0,80.0,7.0,,,
20,2020-02-10,642.0,21.0,20170710010068.0,2.0,80.0,6.0,,,
21,2020-02-11,634.0,22.0,20170710010068.0,2.0,82.0,8.0,,,
22,2020-02-12,643.0,23.0,20170710010068.0,2.0,80.0,7.0,,,
23,2020-02-13,648.0,24.0,20170710010068.0,2.0,84.0,7.0,,,
24,2020-02-14,645.0,25.0,20170710010068.0,2.0,86.0,8.0,,,
25,2020-02-15,637.0,26.0,20170710010068.0,2.0,86.0,8.0,,,
26,2020-02-16,643.0,27.0,20170710010068.0,2.0,80.0,8.0,,,
27,2020-02-17,660.0,28.0,20170710010068.0,2.0,80.0,7.0,,,
28,2020-02-18,640.0,29.0,20170710010068.0,2.0,82.0,7.0,,,
29,2020-02-19,625.0,30.0,20170710010068.0,2.0,80.0,7.0,,,
30,2020-02-20,654.0,31.0,20170710010068.0,2.0,76.0,6.0,,,
31,2020-02-21,647.0,32.0,20170710010068.0,2.0,78.0,7.0,,,
32,2020-02-22,652.0,33.0,20170710010068.0,2.0,86.0,8.0,,,
33,2020-02-23,638.0,34.0,20170710010068.0,2.0,86.0,8.0,,,
34,2020-02-24,644.0,35.0,20170710010068.0,2.0,86.0,8.0,,,
35,2020-02-25,642.0,36.0,20170710010068.0,2.0,86.0,8.0,,,
36,2020-02-26,641.0,37.0,20170710010068.0,2.0,88.0,8.0,,,
37,2020-02-27,648.0,38.0,20170710010068.0,2.0,90.0,8.0,,,
38,2020-02-28,660.0,39.0,20170710010068.0,2.0,90.0,8.0,,,
39,2020-02-29,638.0,40.0,20170710010068.0,2.0,88.0,8.0,,,
40,2020-03-01,625.0,41.0,20170710010068.0,2.0,86.0,8.0,,,
41,2020-03-02,644.0,42.0,20170710010068.0,2.0,86.0,8.0,,,
42,2020-03-03,647.0,43.0,20170710010068.0,2.0,84.0,8.0,,,
43,2020-03-04,643.0,44.0,20170710010068.0,2.0,86.0,8.0,,,
44,2020-03-05,652.0,45.0,20170710010068.0,2.0,86.0,8.0,,,
45,2020-03-06,647.0,46.0,20170710010068.0,2.0,86.0,8.0,,,
46,2020-03-07,660.0,47.0,20170710010068.0,2.0,86.0,8.0,,,
47,2020-03-08,652.0,48.0,20170710010068.0,2.0,88.0,8.0,,,
48,2020-03-09,649.0,49.0,20170710010068.0,2.0,90.0,8.0,,,
49,2020-03-10,645.0,50.0,20170710010068.0,2.0,90.0,8.0,,,
50,2020-03-11,655.0,51.0,20170710010068.0,2.0,90.0,8.0,,,
51,2020-03-12,657.0,52.0,20170710010068.0,2.0,90.0,8.0,,,
52,2020-03-13,660.0,53.0,20170710010068.0,2.0,84.0,8.0,,,
53,2020-03-14,653.0,54.0,20170710010068.0,2.0,82.0,8.0,,,
54,2020-03-15,657.0,55.0,20170710010068.0,2.0,90.0,8.0,,,
55,2020-03-16,660.0,56.0,20170710010068.0,2.0,92.0,8.0,,,
56,2020-03-17,647.0,57.0,20170710010068.0,2.0,92.0,8.0,,,
57,2020-03-18,653.0,58.0,20170710010068.0,2.0,90.0,8.0,,,
58,2020-03-19,660.0,59.0,20170710010068.0,2.0,92.0,8.0,,,
59,2020-03-20,666.0,60.0,20170710010068.0,2.0,92.0,8.0,,,
60,2020-03-21,660.0,61.0,20170710010068.0,2.0,92.0,8.0,,,
61,2020-03-22,659.0,62.0,20170710010068.0,2.0,90.0,8.0,,,
62,2020-03-23,661.0,63.0,20170710010068.0,2.0,94.0,8.0,,,
63,2020-03-24,652.0,64.0,20170710010068.0,2.0,90.0,8.0,,,
64,2020-03-25,648.0,65.0,20170710010068.0,2.0,88.0,8.0,,,
65,2020-03-26,660.0,66.0,20170710010068.0,2.0,90.0,8.0,,,
66,2020-03-27,655.0,67.0,20170710010068.0,2.0,90.0,8.0,,,
67,2020-03-28,665.0,68.0,20170710010068.0,2.0,90.0,8.0,,,
68,2020-03-29,666.0,69.0,20170710010068.0,2.0,90.0,8.0,,,
69,2020-03-30,652.0,70.0,20170710010068.0,2.0,92.0,8.0,,,
70,2020-03-31,646.0,71.0,20170710010068.0,2.0,90.0,8.0,,,
71,2020-04-01,655.0,72.0,20170710010068.0,2.0,92.0,8.0,,,
72,2020-04-02,664.0,73.0,20170710010068.0,2.0,94.0,8.0,,,
73,2020-04-03,653.0,74.0,20170710010068.0,2.0,94.0,8.0,,,
74,2020-04-04,651.0,75.0,20170710010068.0,2.0,94.0,8.0,,,
75,2020-04-05,654.0,76.0,20170710010068.0,2.0,92.0,8.0,,,
76,2020-04-06,654.0,77.0,20170710010068.0,2.0,90.0,8.0,,,
77,2020-04-07,656.0,78.0,20170710010068.0,2.0,90.0,8.0,,,
78,2020-04-08,662.0,79.0,20170710010068.0,2.0,92.0,8.0,,,
79,2020-04-09,660.0,80.0,20170710010068.0,2.0,92.0,8.0,,,
80,2020-04-10,657.0,81.0,20170710010068.0,2.0,86.0,8.0,,,
81,2020-04-11,666.0,82.0,20170710010068.0,2.0,90.0,8.0,,,
82,2020-04-12,670.0,83.0,20170710010068.0,2.0,92.0,8.0,,,
83,2020-04-13,658.0,84.0,20170710010068.0,2.0,90.0,8.0,,,
