,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-01-21,697.0,1.0,20130528010023.0,2.0,82.0,5.0,,,
1,2020-01-22,704.0,2.0,20130528010023.0,2.0,56.0,5.0,,,
2,2020-01-23,714.0,3.0,20130528010023.0,2.0,64.0,6.0,,,
3,2020-01-24,697.0,4.0,20130528010023.0,2.0,68.0,6.0,,,
4,2020-01-25,705.0,5.0,20130528010023.0,2.0,68.0,6.0,,,
5,2020-01-26,708.0,6.0,20130528010023.0,2.0,70.0,5.0,,,
6,2020-01-27,682.0,7.0,20130528010023.0,2.0,64.0,5.0,,,
7,2020-01-28,693.0,8.0,20130528010023.0,2.0,62.0,5.0,,,
8,2020-01-29,702.0,9.0,20130528010023.0,2.0,62.0,5.0,,,
9,2020-01-30,701.0,10.0,20130528010023.0,2.0,64.0,5.0,,,
10,2020-01-31,704.0,11.0,20130528010023.0,2.0,64.0,5.0,,,
11,2020-02-01,716.0,12.0,20130528010023.0,2.0,66.0,7.0,,,
12,2020-02-02,715.0,13.0,20130528010023.0,2.0,64.0,7.0,,,
13,2020-02-03,698.0,14.0,20130528010023.0,2.0,60.0,6.0,,,
14,2020-02-04,727.0,15.0,20130528010023.0,2.0,66.0,7.0,,,
15,2020-02-05,719.0,16.0,20130528010023.0,2.0,64.0,6.0,,,
16,2020-02-06,707.0,17.0,20130528010023.0,2.0,42.0,6.0,,,
17,2020-02-07,717.0,18.0,20130528010023.0,2.0,44.0,5.0,,,
18,2020-02-08,720.0,19.0,20130528010023.0,2.0,50.0,6.0,,,
19,2020-02-09,710.0,20.0,20130528010023.0,2.0,54.0,5.0,,,
20,2020-02-10,716.0,21.0,20130528010023.0,2.0,58.0,6.0,,,
21,2020-02-11,729.0,22.0,20130528010023.0,2.0,64.0,5.0,,,
22,2020-02-12,717.0,23.0,20130528010023.0,2.0,62.0,5.0,,,
23,2020-02-13,722.0,24.0,20130528010023.0,2.0,52.0,5.0,,,
24,2020-02-14,726.0,25.0,20130528010023.0,2.0,58.0,4.0,,,
25,2020-02-15,729.0,26.0,20130528010023.0,2.0,58.0,4.0,,,
26,2020-02-16,724.0,27.0,20130528010023.0,2.0,62.0,5.0,,,
27,2020-02-17,724.0,28.0,20130528010023.0,2.0,64.0,5.0,,,
28,2020-02-18,710.0,29.0,20130528010023.0,2.0,50.0,5.0,,,
29,2020-02-19,719.0,30.0,20130528010023.0,2.0,58.0,4.0,,,
30,2020-02-20,725.0,31.0,20130528010023.0,2.0,62.0,4.0,,,
31,2020-02-21,730.0,32.0,20130528010023.0,2.0,60.0,6.0,,,
32,2020-02-22,729.0,33.0,20130528010023.0,2.0,62.0,5.0,,,
33,2020-02-23,710.0,34.0,20130528010023.0,2.0,66.0,6.0,,,
34,2020-02-24,734.0,35.0,20130528010023.0,2.0,68.0,6.0,,,
35,2020-02-25,714.0,36.0,20130528010023.0,2.0,66.0,5.0,,,
36,2020-02-26,712.0,37.0,20130528010023.0,2.0,64.0,5.0,,,
37,2020-02-27,719.0,38.0,20130528010023.0,2.0,68.0,5.0,,,
38,2020-02-28,719.0,39.0,20130528010023.0,2.0,66.0,6.0,,,
39,2020-02-29,715.0,40.0,20130528010023.0,2.0,66.0,5.0,,,
40,2020-03-01,692.0,41.0,20130528010023.0,2.0,34.0,4.0,,,
41,2020-03-02,681.0,42.0,20130528010023.0,2.0,30.0,5.0,,,
42,2020-03-03,711.0,43.0,20130528010023.0,2.0,34.0,6.0,,,
43,2020-01-20,,0.0,20130528010023.0,2.0,12.0,3.0,,,
44,2020-07-27,,,,,,,610.0,29.0,73.0
45,2020-07-28,,,,,,,607.0,26.0,80.0
46,2020-07-29,,,,,,,601.0,27.0,82.0
47,2020-07-30,,,,,,,603.0,28.0,82.0
48,2020-07-31,,,,,,,610.0,29.0,79.0
49,2020-08-01,,,,,,,609.0,29.0,78.0
50,2020-08-02,,,,,,,606.0,27.0,78.0
51,2020-08-03,,,,,,,607.0,27.0,80.0
52,2020-08-04,,,,,,,610.0,29.0,81.0
53,2020-08-05,,,,,,,605.0,28.0,82.0
54,2020-08-06,,,,,,,604.0,27.0,82.0
55,2020-08-07,,,,,,,607.0,26.0,82.0
56,2020-08-08,,,,,,,610.0,26.0,82.0
57,2020-08-09,,,,,,,627.0,28.0,82.0
58,2020-08-10,,,,,,,620.0,28.0,82.0
59,2020-08-11,,,,,,,609.0,27.0,82.0
60,2020-08-12,,,,,,,609.0,29.0,82.0
61,2020-08-13,,,,,,,610.0,31.0,82.0
62,2020-08-14,,,,,,,612.0,31.0,82.0
63,2020-08-15,,,,,,,610.0,29.0,82.0
64,2020-08-16,,,,,,,628.0,30.0,82.0
65,2020-08-17,,,,,,,625.0,30.0,82.0
66,2020-08-18,,,,,,,612.0,30.0,78.0
67,2020-08-19,,,,,,,613.0,29.0,72.0
68,2020-08-20,,,,,,,619.0,30.0,63.0
69,2020-08-21,,,,,,,616.0,30.0,71.0
70,2020-08-22,,,,,,,609.0,28.0,82.0
71,2020-08-23,,,,,,,599.0,27.0,82.0
72,2020-08-24,,,,,,,598.0,29.0,82.0
73,2020-08-25,,,,,,,613.0,31.0,75.0
74,2020-08-26,,,,,,,616.0,32.0,78.0
75,2020-08-27,,,,,,,632.0,31.0,82.0
76,2020-08-28,,,,,,,624.0,31.0,81.0
77,2020-08-29,,,,,,,611.0,29.0,82.0
78,2020-08-30,,,,,,,611.0,30.0,82.0
79,2020-08-31,,,,,,,612.0,28.0,82.0
80,2020-09-21,,,,,,,604.0,23.0,66.0
81,2020-09-22,,,,,,,592.0,21.0,82.0
82,2020-09-23,,,,,,,592.0,20.0,82.0
83,2020-09-24,,,,,,,603.0,22.0,76.0
