,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-02-05,648.0,1.0,20120423010010.0,2.0,30.0,4.0,,,
1,2020-02-04,,0.0,20120423010010.0,2.0,12.0,2.0,,,
2,2020-07-27,,,,,,,610.0,29.0,73.0
3,2020-07-28,,,,,,,607.0,26.0,80.0
4,2020-07-29,,,,,,,601.0,27.0,82.0
5,2020-07-30,,,,,,,603.0,28.0,82.0
6,2020-07-31,,,,,,,610.0,29.0,79.0
7,2020-08-01,,,,,,,609.0,29.0,78.0
8,2020-08-02,,,,,,,606.0,27.0,78.0
9,2020-08-03,,,,,,,607.0,27.0,80.0
10,2020-08-04,,,,,,,610.0,29.0,81.0
11,2020-08-05,,,,,,,605.0,28.0,82.0
12,2020-08-06,,,,,,,604.0,27.0,82.0
13,2020-08-07,,,,,,,607.0,26.0,82.0
14,2020-08-08,,,,,,,610.0,26.0,82.0
15,2020-08-09,,,,,,,627.0,28.0,82.0
16,2020-08-10,,,,,,,620.0,28.0,82.0
17,2020-08-11,,,,,,,609.0,27.0,82.0
18,2020-08-12,,,,,,,609.0,29.0,82.0
19,2020-08-13,,,,,,,610.0,31.0,82.0
20,2020-08-14,,,,,,,612.0,31.0,82.0
21,2020-08-15,,,,,,,610.0,29.0,82.0
22,2020-08-16,,,,,,,628.0,30.0,82.0
23,2020-08-17,,,,,,,625.0,30.0,82.0
24,2020-08-18,,,,,,,612.0,30.0,78.0
25,2020-08-19,,,,,,,613.0,29.0,72.0
26,2020-08-20,,,,,,,619.0,30.0,63.0
27,2020-08-21,,,,,,,616.0,30.0,71.0
28,2020-08-22,,,,,,,609.0,28.0,82.0
29,2020-08-23,,,,,,,599.0,27.0,82.0
30,2020-08-24,,,,,,,598.0,29.0,82.0
31,2020-08-25,,,,,,,613.0,31.0,75.0
32,2020-08-26,,,,,,,616.0,32.0,78.0
33,2020-08-27,,,,,,,632.0,31.0,82.0
34,2020-08-28,,,,,,,624.0,31.0,81.0
35,2020-08-29,,,,,,,611.0,29.0,82.0
36,2020-08-30,,,,,,,611.0,30.0,82.0
37,2020-08-31,,,,,,,612.0,28.0,82.0
38,2020-09-21,,,,,,,604.0,23.0,66.0
39,2020-09-22,,,,,,,592.0,21.0,82.0
40,2020-09-23,,,,,,,592.0,20.0,82.0
41,2020-09-24,,,,,,,603.0,22.0,76.0
42,2020-09-25,,,,,,,603.0,22.0,74.0
43,2020-09-26,,,,,,,600.0,21.0,74.0
44,2020-09-27,,,,,,,604.0,21.0,71.0
45,2020-09-28,,,,,,,602.0,21.0,74.0
46,2020-09-29,,,,,,,596.0,19.0,80.0
47,2020-09-30,,,,,,,603.0,21.0,75.0
48,2020-10-01,,,,,,,605.0,21.0,76.0
49,2020-10-02,,,,,,,610.0,22.0,72.0
50,2020-10-03,,,,,,,605.0,22.0,80.0
51,2020-10-04,,,,,,,601.0,20.0,79.0
52,2020-10-05,,,,,,,590.0,16.0,82.0
53,2020-10-06,,,,,,,590.0,16.0,82.0
54,2020-10-07,,,,,,,598.0,18.0,72.0
55,2020-10-08,,,,,,,601.0,19.0,59.0
56,2020-10-09,,,,,,,602.0,19.0,45.0
57,2020-10-10,,,,,,,603.0,19.0,56.0
58,2020-10-11,,,,,,,598.0,19.0,76.0
59,2020-10-12,,,,,,,591.0,19.0,82.0
