,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-07-06,660.0,1.0,20180624010008.0,1.0,19.0,4.0,,,
1,2020-07-07,639.0,2.0,20180624010008.0,1.0,22.0,4.0,,,
2,2020-07-08,628.0,3.0,20180624010008.0,1.0,27.0,5.0,,,
3,2020-07-09,625.0,4.0,20180624010008.0,1.0,29.0,5.0,,,
4,2020-07-10,619.0,5.0,20180624010008.0,1.0,31.0,5.0,,,
5,2020-07-11,627.0,6.0,20180624010008.0,1.0,33.0,5.0,,,
6,2020-07-12,626.0,7.0,20180624010008.0,1.0,33.0,5.0,,,
7,2020-07-13,624.0,8.0,20180624010008.0,1.0,33.0,5.0,,,
8,2020-07-14,614.0,9.0,20180624010008.0,1.0,34.0,5.0,,,
9,2020-07-15,613.0,10.0,20180624010008.0,1.0,36.0,5.0,,,
10,2020-07-16,609.0,11.0,20180624010008.0,1.0,37.0,5.0,,,
11,2020-07-17,596.0,12.0,20180624010008.0,1.0,38.0,5.0,,,
12,2020-07-18,583.0,13.0,20180624010008.0,1.0,38.0,5.0,,,
13,2020-07-19,586.0,14.0,20180624010008.0,1.0,40.0,5.0,,,
14,2020-07-20,588.0,15.0,20180624010008.0,1.0,42.0,5.0,,,
15,2020-07-21,590.0,16.0,20180624010008.0,1.0,41.0,6.0,,,
16,2020-07-22,589.0,17.0,20180624010008.0,1.0,43.0,6.0,,,
17,2020-07-23,584.0,18.0,20180624010008.0,1.0,44.0,6.0,,,
18,2020-07-24,587.0,19.0,20180624010008.0,1.0,44.0,6.0,,,
19,2020-07-25,587.0,20.0,20180624010008.0,1.0,44.0,6.0,,,
20,2020-07-26,590.0,21.0,20180624010008.0,1.0,45.0,6.0,,,
21,2020-07-27,584.0,22.0,20180624010008.0,1.0,44.0,6.0,610.0,29.0,73.0
22,2020-07-28,593.0,23.0,20180624010008.0,1.0,47.0,6.0,607.0,26.0,80.0
23,2020-07-29,594.0,24.0,20180624010008.0,1.0,46.0,6.0,601.0,27.0,82.0
24,2020-07-30,580.0,25.0,20180624010008.0,1.0,46.0,6.0,603.0,28.0,82.0
25,2020-07-31,585.0,26.0,20180624010008.0,1.0,46.0,6.0,610.0,29.0,79.0
26,2020-08-01,588.0,27.0,20180624010008.0,1.0,46.0,6.0,609.0,29.0,78.0
27,2020-08-02,585.0,28.0,20180624010008.0,1.0,48.0,6.0,606.0,27.0,78.0
28,2020-08-03,581.0,29.0,20180624010008.0,1.0,47.0,6.0,607.0,27.0,80.0
29,2020-08-04,591.0,30.0,20180624010008.0,1.0,47.0,6.0,610.0,29.0,81.0
30,2020-08-05,594.0,31.0,20180624010008.0,1.0,48.0,6.0,605.0,28.0,82.0
31,2020-08-06,588.0,32.0,20180624010008.0,1.0,47.0,6.0,604.0,27.0,82.0
32,2020-08-07,591.0,33.0,20180624010008.0,1.0,47.0,6.0,607.0,26.0,82.0
33,2020-08-08,588.0,34.0,20180624010008.0,1.0,47.0,6.0,610.0,26.0,82.0
34,2020-08-09,582.0,35.0,20180624010008.0,1.0,47.0,7.0,627.0,28.0,82.0
35,2020-08-10,583.0,36.0,20180624010008.0,1.0,47.0,7.0,620.0,28.0,82.0
36,2020-08-11,581.0,37.0,20180624010008.0,1.0,42.0,7.0,609.0,27.0,82.0
37,2020-08-12,593.0,38.0,20180624010008.0,1.0,43.0,7.0,609.0,29.0,82.0
38,2020-08-13,586.0,39.0,20180624010008.0,1.0,44.0,7.0,610.0,31.0,82.0
39,2020-08-14,584.0,40.0,20180624010008.0,1.0,45.0,7.0,612.0,31.0,82.0
40,2020-08-15,575.0,41.0,20180624010008.0,1.0,42.0,7.0,610.0,29.0,82.0
41,2020-08-16,595.0,42.0,20180624010008.0,1.0,42.0,7.0,628.0,30.0,82.0
42,2020-08-17,589.0,43.0,20180624010008.0,1.0,45.0,3.0,625.0,30.0,82.0
43,2020-08-18,577.0,44.0,20180624010008.0,1.0,42.0,7.0,612.0,30.0,78.0
44,2020-08-19,579.0,45.0,20180624010008.0,1.0,39.0,7.0,613.0,29.0,72.0
45,2020-08-20,570.0,46.0,20180624010008.0,1.0,38.0,7.0,619.0,30.0,63.0
46,2020-08-21,573.0,47.0,20180624010008.0,1.0,42.0,7.0,616.0,30.0,71.0
47,2020-08-22,585.0,48.0,20180624010008.0,1.0,43.0,7.0,609.0,28.0,82.0
48,2020-08-23,589.0,49.0,20180624010008.0,1.0,41.0,8.0,599.0,27.0,82.0
49,2020-08-24,577.0,50.0,20180624010008.0,1.0,42.0,8.0,598.0,29.0,82.0
50,2020-08-25,570.0,51.0,20180624010008.0,1.0,40.0,8.0,613.0,31.0,75.0
51,2020-08-26,577.0,52.0,20180624010008.0,1.0,40.0,7.0,616.0,32.0,78.0
52,2020-08-27,578.0,53.0,20180624010008.0,1.0,40.0,7.0,632.0,31.0,82.0
53,2020-08-28,570.0,54.0,20180624010008.0,1.0,41.0,7.0,624.0,31.0,81.0
54,2020-08-29,584.0,55.0,20180624010008.0,1.0,42.0,7.0,611.0,29.0,82.0
55,2020-08-30,582.0,56.0,20180624010008.0,1.0,44.0,7.0,611.0,30.0,82.0
56,2020-08-31,577.0,57.0,20180624010008.0,1.0,42.0,7.0,612.0,28.0,82.0
57,2020-09-01,578.0,58.0,20180624010008.0,1.0,44.0,7.0,,,
58,2020-09-02,578.0,59.0,20180624010008.0,1.0,46.0,7.0,,,
59,2020-09-03,579.0,60.0,20180624010008.0,1.0,46.0,8.0,,,
60,2020-09-04,593.0,61.0,20180624010008.0,1.0,43.0,7.0,,,
61,2020-09-05,580.0,62.0,20180624010008.0,1.0,46.0,7.0,,,
62,2020-09-06,577.0,63.0,20180624010008.0,1.0,47.0,7.0,,,
63,2020-09-07,571.0,64.0,20180624010008.0,1.0,47.0,8.0,,,
64,2020-09-08,562.0,65.0,20180624010008.0,1.0,47.0,8.0,,,
65,2020-09-09,572.0,66.0,20180624010008.0,1.0,45.0,7.0,,,
66,2020-09-10,572.0,67.0,20180624010008.0,1.0,44.0,7.0,,,
67,2020-09-11,570.0,68.0,20180624010008.0,1.0,47.0,7.0,,,
68,2020-09-12,565.0,69.0,20180624010008.0,1.0,46.0,7.0,,,
69,2020-09-13,566.0,70.0,20180624010008.0,1.0,46.0,7.0,,,
70,2020-09-14,566.0,71.0,20180624010008.0,1.0,46.0,8.0,,,
71,2020-09-15,571.0,72.0,20180624010008.0,1.0,46.0,8.0,,,
72,2020-09-16,576.0,73.0,20180624010008.0,1.0,47.0,8.0,,,
73,2020-09-17,570.0,74.0,20180624010008.0,1.0,45.0,8.0,,,
74,2020-09-18,577.0,75.0,20180624010008.0,1.0,45.0,8.0,,,
75,2020-09-19,592.0,76.0,20180624010008.0,1.0,46.0,8.0,,,
76,2020-09-20,590.0,77.0,20180624010008.0,1.0,49.0,8.0,,,
77,2020-09-21,584.0,78.0,20180624010008.0,1.0,47.0,9.0,604.0,23.0,66.0
78,2020-09-22,579.0,79.0,20180624010008.0,1.0,49.0,8.0,592.0,21.0,82.0
79,2020-09-23,573.0,80.0,20180624010008.0,1.0,47.0,9.0,592.0,20.0,82.0
80,2020-09-24,577.0,81.0,20180624010008.0,1.0,48.0,8.0,603.0,22.0,76.0
81,2020-09-25,572.0,82.0,20180624010008.0,1.0,45.0,8.0,603.0,22.0,74.0
82,2020-09-26,578.0,83.0,20180624010008.0,1.0,46.0,8.0,600.0,21.0,74.0
83,2020-09-27,579.0,84.0,20180624010008.0,1.0,48.0,8.0,604.0,21.0,71.0
84,2020-09-28,580.0,85.0,20180624010008.0,1.0,47.0,8.0,602.0,21.0,74.0
85,2020-09-29,583.0,86.0,20180624010008.0,1.0,47.0,8.0,596.0,19.0,80.0
86,2020-09-30,585.0,87.0,20180624010008.0,1.0,45.0,8.0,603.0,21.0,75.0
87,2020-10-01,584.0,88.0,20180624010008.0,1.0,46.0,8.0,605.0,21.0,76.0
88,2020-10-02,584.0,89.0,20180624010008.0,1.0,44.0,8.0,610.0,22.0,72.0
89,2020-10-03,590.0,90.0,20180624010008.0,1.0,45.0,8.0,605.0,22.0,80.0
90,2020-10-04,595.0,91.0,20180624010008.0,1.0,46.0,8.0,601.0,20.0,79.0
91,2020-10-05,592.0,92.0,20180624010008.0,1.0,46.0,8.0,590.0,16.0,82.0
92,2020-10-06,587.0,93.0,20180624010008.0,1.0,46.0,9.0,590.0,16.0,82.0
93,2020-10-07,595.0,94.0,20180624010008.0,1.0,48.0,10.0,598.0,18.0,72.0
94,2020-10-08,601.0,95.0,20180624010008.0,1.0,47.0,10.0,601.0,19.0,59.0
95,2020-10-09,590.0,96.0,20180624010008.0,1.0,45.0,10.0,602.0,19.0,45.0
96,2020-10-10,600.0,97.0,20180624010008.0,1.0,45.0,10.0,603.0,19.0,56.0
97,2020-10-11,597.0,98.0,20180624010008.0,1.0,47.0,10.0,598.0,19.0,76.0
98,2020-10-12,600.0,99.0,20180624010008.0,1.0,47.0,10.0,591.0,19.0,82.0
99,2020-10-13,597.0,100.0,20180624010008.0,1.0,44.0,10.0,590.0,15.0,82.0
100,2020-10-14,607.0,101.0,20180624010008.0,1.0,45.0,10.0,595.0,14.0,73.0
101,2020-10-15,591.0,102.0,20180624010008.0,1.0,37.0,10.0,595.0,14.0,68.0
102,2020-10-16,570.0,103.0,20180624010008.0,1.0,33.0,10.0,585.0,12.0,82.0
103,2020-10-17,565.0,104.0,20180624010008.0,1.0,35.0,10.0,590.0,14.0,77.0
104,2020-10-18,573.0,105.0,20180624010008.0,1.0,35.0,10.0,597.0,14.0,70.0
105,2020-10-19,552.0,106.0,20180624010008.0,1.0,30.0,10.0,604.0,15.0,61.0
106,2020-10-20,586.0,107.0,20180624010008.0,1.0,33.0,10.0,614.0,16.0,44.0
107,2020-10-21,592.0,108.0,20180624010008.0,1.0,35.0,10.0,599.0,14.0,74.0
108,2020-10-23,590.0,110.0,20180624010008.0,1.0,36.0,10.0,587.0,12.0,82.0
109,2020-10-24,598.0,111.0,20180624010008.0,1.0,38.0,10.0,588.0,11.0,82.0
110,2020-10-25,585.0,112.0,20180624010008.0,1.0,37.0,10.0,595.0,12.0,71.0
111,2020-10-26,589.0,113.0,20180624010008.0,1.0,41.0,10.0,598.0,13.0,68.0
112,2020-07-05,,0.0,20180624010008.0,1.0,6.0,3.0,,,
113,2020-10-22,,109.0,20180624010008.0,1.0,33.0,10.0,594.0,15.0,80.0
114,2021-01-08,,114.0,20180624010008.0,2.0,28.0,,,,
115,2021-01-09,,115.0,20180624010008.0,2.0,36.0,,,,
116,2021-01-10,,116.0,20180624010008.0,2.0,41.0,,,,
117,2021-01-11,,117.0,20180624010008.0,2.0,36.0,,,,
118,2021-01-12,,118.0,20180624010008.0,2.0,36.0,,,,
119,2021-01-13,,119.0,20180624010008.0,1.0,25.0,,,,
120,2021-01-14,,120.0,20180624010008.0,2.0,30.0,,,,
121,2021-01-25,,121.0,20180624010008.0,2.0,27.0,,,,
122,2021-01-26,,122.0,20180624010008.0,2.0,27.0,,,,
123,2021-01-27,,123.0,20180624010008.0,2.0,29.0,,,,
124,2021-01-28,,124.0,20180624010008.0,2.0,28.0,,,,
125,2021-01-29,,125.0,20180624010008.0,2.0,27.0,,571.0,-2.0,82.0
126,2021-01-30,,126.0,20180624010008.0,2.0,29.0,,,,
127,2021-01-31,,127.0,20180624010008.0,2.0,29.0,,,,
128,2021-02-01,,128.0,20180624010008.0,3.0,35.0,,,,
129,2021-02-02,,129.0,20180624010008.0,2.0,22.0,,,,
130,2021-02-03,,130.0,20180624010008.0,2.0,28.0,,,,
131,2021-02-04,,131.0,20180624010008.0,2.0,30.0,,,,
132,2021-02-05,,132.0,20180624010008.0,2.0,38.0,,,,
133,2021-02-06,,133.0,20180624010008.0,2.0,28.0,,,,
134,2021-02-07,,134.0,20180624010008.0,3.0,34.0,,,,
135,2021-02-08,,135.0,20180624010008.0,2.0,28.0,,,,
136,2021-02-09,,136.0,20180624010008.0,3.0,34.0,,,,
137,2021-02-10,,137.0,20180624010008.0,3.0,37.0,,,,
138,2021-02-11,,138.0,20180624010008.0,2.0,27.0,,,,
139,2021-02-12,,139.0,20180624010008.0,2.0,29.0,,,,
140,2021-02-13,,140.0,20180624010008.0,1.0,20.0,,,,
141,2021-02-14,,141.0,20180624010008.0,2.0,25.0,,,,
142,2021-02-15,,142.0,20180624010008.0,2.0,24.0,,,,
143,2021-02-16,,143.0,20180624010008.0,2.0,28.0,,,,
144,2021-02-18,,144.0,20180624010008.0,3.0,38.0,,,,
145,2021-02-19,,145.0,20180624010008.0,3.0,31.0,,,,
146,2021-02-20,,146.0,20180624010008.0,3.0,36.0,,,,
147,2021-02-21,,147.0,20180624010008.0,3.0,33.0,,,,
148,2021-02-22,,148.0,20180624010008.0,3.0,30.0,,,,
149,2021-02-23,,149.0,20180624010008.0,3.0,32.0,,,,
150,2021-02-24,,150.0,20180624010008.0,3.0,32.0,,,,
151,2021-02-25,,151.0,20180624010008.0,2.0,25.0,,,,
152,2021-02-26,,152.0,20180624010008.0,3.0,38.0,,,,
153,2021-02-27,,153.0,20180624010008.0,2.0,27.0,,,,
154,2021-02-28,,154.0,20180624010008.0,3.0,38.0,,,,
155,2021-03-01,,155.0,20180624010008.0,3.0,38.0,,,,
156,2021-03-02,,156.0,20180624010008.0,3.0,39.0,,,,
157,2021-03-03,,157.0,20180624010008.0,2.0,27.0,,,,
158,2021-03-04,,158.0,20180624010008.0,2.0,26.0,,,,
159,2021-03-05,,159.0,20180624010008.0,2.0,26.0,,,,
160,2021-03-06,,160.0,20180624010008.0,2.0,29.0,,,,
161,2021-03-07,,161.0,20180624010008.0,3.0,35.0,,,,
162,2021-03-08,,162.0,20180624010008.0,2.0,25.0,,,,
163,2021-03-09,,163.0,20180624010008.0,3.0,35.0,,,,
164,2021-03-10,,164.0,20180624010008.0,4.0,42.0,,,,
165,2021-03-11,,165.0,20180624010008.0,3.0,29.0,,,,
166,2021-03-12,,166.0,20180624010008.0,3.0,32.0,,,,
167,2021-03-13,,167.0,20180624010008.0,3.0,33.0,,,,
168,2021-03-14,,168.0,20180624010008.0,3.0,28.0,,,,
169,2021-03-15,,169.0,20180624010008.0,3.0,31.0,,,,
170,2021-03-16,,170.0,20180624010008.0,3.0,31.0,,,,
171,2021-03-17,,171.0,20180624010008.0,3.0,35.0,,,,
172,2021-03-18,,172.0,20180624010008.0,2.0,26.0,,,,
173,2021-03-19,,173.0,20180624010008.0,3.0,36.0,,,,
174,2021-03-20,,174.0,20180624010008.0,3.0,44.0,,,,
175,2021-03-21,,175.0,20180624010008.0,3.0,34.0,,585.0,10.0,71.0
176,2021-03-29,,176.0,20180624010008.0,3.0,32.0,,,,
177,2021-03-30,,177.0,20180624010008.0,3.0,31.0,,,,
178,2021-04-01,,178.0,20180624010008.0,3.0,30.0,,,,
179,2021-04-02,,179.0,20180624010008.0,3.0,30.0,,,,
180,2021-04-03,,180.0,20180624010008.0,3.0,36.0,,,,
181,2021-04-04,,181.0,20180624010008.0,3.0,32.0,,,,
182,2021-04-05,,182.0,20180624010008.0,3.0,27.0,,,,
183,2021-04-06,,183.0,20180624010008.0,2.0,20.0,,,,
184,2021-04-07,,184.0,20180624010008.0,3.0,27.0,,,,
185,2021-04-09,,185.0,20180624010008.0,4.0,39.0,,,,
186,2021-04-10,,186.0,20180624010008.0,3.0,30.0,,,,
187,2021-04-11,,187.0,20180624010008.0,4.0,39.0,,,,
188,2021-04-12,,188.0,20180624010008.0,3.0,28.0,,,,
189,2021-04-13,,189.0,20180624010008.0,3.0,28.0,,,,
190,2021-04-14,,190.0,20180624010008.0,3.0,35.0,,,,
191,2021-04-21,,191.0,20180624010008.0,3.0,33.0,,,,
192,2021-04-22,,192.0,20180624010008.0,3.0,35.0,,,,
193,2021-04-23,,193.0,20180624010008.0,3.0,33.0,,,,
194,2021-04-25,,194.0,20180624010008.0,2.0,24.0,,,,
195,2021-04-26,,195.0,20180624010008.0,2.0,29.0,,,,
196,2021-04-27,,196.0,20180624010008.0,2.0,30.0,,,,
197,2021-04-28,,197.0,20180624010008.0,2.0,26.0,,,,
198,2021-04-29,,198.0,20180624010008.0,2.0,24.0,,,,
199,2021-05-02,,199.0,20180624010008.0,6.0,58.0,,,,
200,2021-05-03,,200.0,20180624010008.0,4.0,40.0,,,,
201,2021-05-04,,201.0,20180624010008.0,4.0,52.0,,,,
202,2021-05-05,,202.0,20180624010008.0,6.0,74.0,,,,
203,2021-05-06,,203.0,20180624010008.0,4.0,50.0,,,,
204,2021-05-07,,204.0,20180624010008.0,6.0,66.0,,,,
205,2021-05-08,,205.0,20180624010008.0,6.0,66.0,,,,
206,2021-05-09,,206.0,20180624010008.0,6.0,66.0,,,,
207,2021-05-10,,207.0,20180624010008.0,4.0,56.0,,,,
208,2021-05-11,,208.0,20180624010008.0,6.0,74.0,,,,
209,2021-05-12,,209.0,20180624010008.0,6.0,66.0,,,,
210,2021-05-13,,210.0,20180624010008.0,6.0,66.0,,,,
211,2021-05-14,,211.0,20180624010008.0,6.0,70.0,,,,
212,2021-05-15,,212.0,20180624010008.0,6.0,62.0,,,,
213,2021-05-16,,213.0,20180624010008.0,6.0,62.0,,,,
214,2021-05-17,,214.0,20180624010008.0,6.0,66.0,,,,
215,2021-05-18,,215.0,20180624010008.0,6.0,62.0,,,,
216,2021-05-19,,216.0,20180624010008.0,4.0,50.0,,,,
217,2021-05-20,,217.0,20180624010008.0,6.0,58.0,,,,
218,2021-05-21,,218.0,20180624010008.0,6.0,66.0,,,,
219,2021-05-22,,219.0,20180624010008.0,4.0,46.0,,,,
220,2021-05-23,,220.0,20180624010008.0,6.0,66.0,,,,
221,2021-05-24,,221.0,20180624010008.0,6.0,70.0,,,,
222,2021-05-25,,222.0,20180624010008.0,4.0,60.0,,,,
223,2021-05-26,,223.0,20180624010008.0,4.0,44.0,,,,
224,2021-05-27,,224.0,20180624010008.0,6.0,68.0,,,,
225,2021-05-28,,225.0,20180624010008.0,6.0,66.0,,,,
226,2021-05-29,,226.0,20180624010008.0,4.0,56.0,,,,
227,2021-05-31,,227.0,20180624010008.0,4.0,42.0,,,,
228,2021-06-01,,228.0,20180624010008.0,3.0,34.0,,,,
229,2021-06-02,,229.0,20180624010008.0,3.0,34.0,,,,
230,2021-06-03,,230.0,20180624010008.0,3.0,31.0,,,,
231,2021-06-04,,231.0,20180624010008.0,2.0,23.0,,,,
232,2021-06-05,,232.0,20180624010008.0,3.0,32.0,,,,
233,2021-06-06,,233.0,20180624010008.0,2.0,18.0,,,,
234,2021-06-07,,234.0,20180624010008.0,2.0,24.0,,,,
235,2021-06-09,,235.0,20180624010008.0,2.0,20.0,,,,
236,2021-06-10,,236.0,20180624010008.0,3.0,38.0,,,,
237,2021-06-11,,237.0,20180624010008.0,3.0,36.0,,,,
238,2021-06-12,,238.0,20180624010008.0,3.0,32.0,,,,
