,time,체중(kg),index,개체번호,일일 착유 횟수,착유량(L),섭취량(kg),CO2 측정값,온도 측정값,습도 측정값
0,2020-01-21,714.0,1.0,20150228010033.0,2.0,102.0,6.0,,,
1,2020-01-22,734.0,2.0,20150228010033.0,2.0,88.0,5.0,,,
2,2020-01-23,725.0,3.0,20150228010033.0,2.0,86.0,6.0,,,
3,2020-01-24,715.0,4.0,20150228010033.0,2.0,82.0,6.0,,,
4,2020-01-25,712.0,5.0,20150228010033.0,2.0,84.0,6.0,,,
5,2020-01-26,721.0,6.0,20150228010033.0,2.0,86.0,6.0,,,
6,2020-01-27,738.0,7.0,20150228010033.0,2.0,90.0,7.0,,,
7,2020-01-28,731.0,8.0,20150228010033.0,2.0,84.0,7.0,,,
8,2020-01-29,713.0,9.0,20150228010033.0,2.0,86.0,7.0,,,
9,2020-01-30,745.0,10.0,20150228010033.0,2.0,88.0,8.0,,,
10,2020-01-31,735.0,11.0,20150228010033.0,2.0,88.0,8.0,,,
11,2020-02-01,753.0,12.0,20150228010033.0,2.0,90.0,9.0,,,
12,2020-02-02,767.0,13.0,20150228010033.0,2.0,88.0,9.0,,,
13,2020-02-03,735.0,14.0,20150228010033.0,2.0,92.0,9.0,,,
14,2020-02-04,757.0,15.0,20150228010033.0,2.0,88.0,9.0,,,
15,2020-02-05,738.0,16.0,20150228010033.0,2.0,86.0,9.0,,,
16,2020-02-06,744.0,17.0,20150228010033.0,2.0,84.0,8.0,,,
17,2020-02-07,737.0,18.0,20150228010033.0,2.0,82.0,7.0,,,
18,2020-02-08,744.0,19.0,20150228010033.0,2.0,80.0,7.0,,,
19,2020-02-09,742.0,20.0,20150228010033.0,2.0,88.0,7.0,,,
20,2020-02-10,760.0,21.0,20150228010033.0,2.0,92.0,8.0,,,
21,2020-02-11,744.0,22.0,20150228010033.0,2.0,88.0,8.0,,,
22,2020-02-12,751.0,23.0,20150228010033.0,2.0,92.0,8.0,,,
23,2020-02-13,745.0,24.0,20150228010033.0,2.0,86.0,9.0,,,
24,2020-02-14,767.0,25.0,20150228010033.0,2.0,84.0,7.0,,,
25,2020-02-15,774.0,26.0,20150228010033.0,2.0,82.0,7.0,,,
26,2020-02-16,761.0,27.0,20150228010033.0,2.0,84.0,9.0,,,
27,2020-02-17,765.0,28.0,20150228010033.0,2.0,86.0,6.0,,,
28,2020-02-18,756.0,29.0,20150228010033.0,2.0,82.0,7.0,,,
29,2020-02-19,765.0,30.0,20150228010033.0,2.0,82.0,6.0,,,
30,2020-02-20,763.0,31.0,20150228010033.0,2.0,76.0,7.0,,,
31,2020-02-21,754.0,32.0,20150228010033.0,2.0,82.0,8.0,,,
32,2020-02-22,765.0,33.0,20150228010033.0,2.0,88.0,7.0,,,
33,2020-02-23,764.0,34.0,20150228010033.0,2.0,92.0,7.0,,,
34,2020-02-24,749.0,35.0,20150228010033.0,2.0,90.0,7.0,,,
35,2020-02-25,758.0,36.0,20150228010033.0,2.0,90.0,8.0,,,
36,2020-02-26,755.0,37.0,20150228010033.0,2.0,90.0,8.0,,,
37,2020-02-27,737.0,38.0,20150228010033.0,2.0,92.0,7.0,,,
38,2020-02-28,759.0,39.0,20150228010033.0,2.0,88.0,9.0,,,
39,2020-02-29,742.0,40.0,20150228010033.0,2.0,88.0,7.0,,,
40,2020-03-01,749.0,41.0,20150228010033.0,2.0,86.0,8.0,,,
41,2020-03-02,743.0,42.0,20150228010033.0,2.0,94.0,8.0,,,
42,2020-03-03,741.0,43.0,20150228010033.0,2.0,90.0,7.0,,,
43,2020-03-04,734.0,44.0,20150228010033.0,2.0,82.0,7.0,,,
44,2020-03-05,747.0,45.0,20150228010033.0,2.0,88.0,7.0,,,
45,2020-03-06,742.0,46.0,20150228010033.0,2.0,80.0,7.0,,,
46,2020-03-07,759.0,47.0,20150228010033.0,2.0,82.0,8.0,,,
47,2020-03-08,782.0,48.0,20150228010033.0,2.0,86.0,8.0,,,
48,2020-03-09,760.0,49.0,20150228010033.0,2.0,90.0,9.0,,,
49,2020-03-10,765.0,50.0,20150228010033.0,2.0,90.0,8.0,,,
50,2020-03-11,769.0,51.0,20150228010033.0,2.0,86.0,9.0,,,
51,2020-03-12,774.0,52.0,20150228010033.0,2.0,84.0,9.0,,,
52,2020-03-13,745.0,53.0,20150228010033.0,2.0,80.0,8.0,,,
53,2020-03-14,756.0,54.0,20150228010033.0,2.0,68.0,7.0,,,
54,2020-03-15,761.0,55.0,20150228010033.0,2.0,80.0,8.0,,,
55,2020-03-16,775.0,56.0,20150228010033.0,2.0,84.0,8.0,,,
56,2020-03-17,771.0,57.0,20150228010033.0,2.0,88.0,8.0,,,
57,2020-03-18,784.0,58.0,20150228010033.0,2.0,88.0,8.0,,,
58,2020-03-19,778.0,59.0,20150228010033.0,2.0,88.0,9.0,,,
59,2020-03-20,768.0,60.0,20150228010033.0,2.0,84.0,9.0,,,
60,2020-03-21,767.0,61.0,20150228010033.0,2.0,90.0,9.0,,,
61,2020-03-22,763.0,62.0,20150228010033.0,2.0,86.0,8.0,,,
62,2020-03-23,772.0,63.0,20150228010033.0,2.0,86.0,7.0,,,
63,2020-03-24,763.0,64.0,20150228010033.0,2.0,72.0,5.0,,,
64,2020-03-25,763.0,65.0,20150228010033.0,2.0,78.0,5.0,,,
65,2020-03-26,765.0,66.0,20150228010033.0,2.0,84.0,6.0,,,
66,2020-03-27,771.0,67.0,20150228010033.0,2.0,74.0,6.0,,,
67,2020-03-28,774.0,68.0,20150228010033.0,2.0,80.0,7.0,,,
68,2020-03-29,782.0,69.0,20150228010033.0,2.0,82.0,8.0,,,
69,2020-03-30,782.0,70.0,20150228010033.0,2.0,80.0,8.0,,,
70,2020-03-31,763.0,71.0,20150228010033.0,2.0,80.0,8.0,,,
71,2020-04-01,786.0,72.0,20150228010033.0,2.0,78.0,8.0,,,
72,2020-04-02,769.0,73.0,20150228010033.0,2.0,84.0,8.0,,,
73,2020-04-03,761.0,74.0,20150228010033.0,2.0,86.0,8.0,,,
74,2020-04-04,758.0,75.0,20150228010033.0,2.0,80.0,9.0,,,
75,2020-04-05,755.0,76.0,20150228010033.0,2.0,82.0,8.0,,,
76,2020-04-06,778.0,77.0,20150228010033.0,2.0,84.0,8.0,,,
77,2020-04-07,772.0,78.0,20150228010033.0,2.0,74.0,7.0,,,
78,2020-04-08,780.0,79.0,20150228010033.0,2.0,76.0,8.0,,,
79,2020-04-09,775.0,80.0,20150228010033.0,2.0,78.0,6.0,,,
80,2020-04-10,786.0,81.0,20150228010033.0,2.0,76.0,7.0,,,
81,2020-04-11,775.0,82.0,20150228010033.0,2.0,82.0,8.0,,,
82,2020-04-12,775.0,83.0,20150228010033.0,2.0,80.0,7.0,,,
83,2020-04-13,773.0,84.0,20150228010033.0,2.0,66.0,6.0,,,
84,2020-04-14,759.0,85.0,20150228010033.0,2.0,78.0,8.0,,,
85,2020-04-15,773.0,86.0,20150228010033.0,2.0,86.0,7.0,,,
86,2020-04-16,759.0,87.0,20150228010033.0,2.0,74.0,7.0,,,
87,2020-04-17,749.0,88.0,20150228010033.0,2.0,74.0,6.0,,,
88,2020-04-18,766.0,89.0,20150228010033.0,2.0,76.0,7.0,,,
89,2020-04-19,769.0,90.0,20150228010033.0,2.0,80.0,8.0,,,
90,2020-04-20,763.0,91.0,20150228010033.0,2.0,84.0,8.0,,,
91,2020-04-21,750.0,92.0,20150228010033.0,2.0,82.0,9.0,,,
92,2020-04-22,767.0,93.0,20150228010033.0,2.0,78.0,8.0,,,
93,2020-04-23,764.0,94.0,20150228010033.0,2.0,82.0,7.0,,,
94,2020-04-24,777.0,95.0,20150228010033.0,2.0,78.0,6.0,,,
95,2020-04-25,765.0,96.0,20150228010033.0,2.0,72.0,6.0,,,
96,2020-04-26,780.0,97.0,20150228010033.0,2.0,74.0,8.0,,,
97,2020-04-27,771.0,98.0,20150228010033.0,2.0,74.0,7.0,,,
98,2020-04-28,766.0,99.0,20150228010033.0,2.0,76.0,6.0,,,
99,2020-04-29,764.0,100.0,20150228010033.0,2.0,68.0,6.0,,,
100,2020-04-30,739.0,101.0,20150228010033.0,2.0,66.0,5.0,,,
101,2020-05-01,720.0,102.0,20150228010033.0,2.0,56.0,7.0,,,
102,2020-05-02,749.0,103.0,20150228010033.0,2.0,56.0,5.0,,,
103,2020-05-03,781.0,104.0,20150228010033.0,2.0,74.0,5.0,,,
104,2020-05-04,773.0,105.0,20150228010033.0,2.0,74.0,7.0,,,
105,2020-05-05,777.0,106.0,20150228010033.0,2.0,72.0,6.0,,,
106,2020-05-06,763.0,107.0,20150228010033.0,2.0,82.0,6.0,,,
107,2020-05-07,773.0,108.0,20150228010033.0,2.0,78.0,7.0,,,
108,2020-05-08,770.0,109.0,20150228010033.0,2.0,76.0,7.0,,,
109,2020-05-09,781.0,110.0,20150228010033.0,2.0,84.0,8.0,,,
110,2020-05-10,777.0,111.0,20150228010033.0,2.0,80.0,8.0,,,
111,2020-05-11,762.0,112.0,20150228010033.0,2.0,78.0,8.0,,,
112,2020-05-12,774.0,113.0,20150228010033.0,2.0,78.0,8.0,,,
113,2020-05-13,780.0,114.0,20150228010033.0,2.0,74.0,7.0,,,
114,2020-05-14,779.0,115.0,20150228010033.0,2.0,74.0,8.0,,,
115,2020-05-15,768.0,116.0,20150228010033.0,2.0,74.0,7.0,,,
116,2020-05-16,761.0,117.0,20150228010033.0,2.0,74.0,8.0,,,
117,2020-05-17,801.0,118.0,20150228010033.0,2.0,78.0,7.0,,,
118,2020-05-18,778.0,119.0,20150228010033.0,2.0,78.0,8.0,,,
119,2020-05-19,765.0,120.0,20150228010033.0,2.0,72.0,8.0,,,
120,2020-05-20,775.0,121.0,20150228010033.0,2.0,76.0,8.0,,,
121,2020-05-21,779.0,122.0,20150228010033.0,2.0,74.0,8.0,,,
122,2020-05-22,770.0,123.0,20150228010033.0,2.0,76.0,8.0,,,
123,2020-05-23,753.0,124.0,20150228010033.0,2.0,76.0,8.0,,,
124,2020-05-24,789.0,125.0,20150228010033.0,2.0,74.0,8.0,,,
125,2020-05-25,770.0,126.0,20150228010033.0,2.0,68.0,7.0,,,
126,2020-05-26,776.0,127.0,20150228010033.0,2.0,64.0,8.0,,,
127,2020-05-27,780.0,128.0,20150228010033.0,2.0,72.0,8.0,,,
128,2020-05-28,802.0,129.0,20150228010033.0,2.0,76.0,8.0,,,
129,2020-05-29,789.0,130.0,20150228010033.0,2.0,78.0,8.0,,,
130,2020-05-30,782.0,131.0,20150228010033.0,2.0,74.0,8.0,,,
131,2020-05-31,779.0,132.0,20150228010033.0,2.0,72.0,8.0,,,
132,2020-06-01,784.0,133.0,20150228010033.0,2.0,70.0,8.0,,,
133,2020-06-02,786.0,134.0,20150228010033.0,2.0,70.0,8.0,,,
134,2020-06-03,775.0,135.0,20150228010033.0,2.0,72.0,8.0,,,
135,2020-06-04,764.0,136.0,20150228010033.0,2.0,70.0,7.0,,,
136,2020-06-05,776.0,137.0,20150228010033.0,2.0,72.0,7.0,,,
137,2020-06-06,770.0,138.0,20150228010033.0,2.0,70.0,8.0,,,
138,2020-06-07,778.0,139.0,20150228010033.0,2.0,66.0,8.0,,,
139,2020-06-08,790.0,140.0,20150228010033.0,2.0,66.0,6.0,,,
140,2020-06-09,740.0,141.0,20150228010033.0,2.0,58.0,5.0,,,
141,2020-06-10,775.0,142.0,20150228010033.0,2.0,38.0,7.0,,,
142,2020-06-11,784.0,143.0,20150228010033.0,2.0,54.0,6.0,,,
143,2020-06-12,762.0,144.0,20150228010033.0,2.0,62.0,5.0,,,
144,2020-06-13,783.0,145.0,20150228010033.0,2.0,64.0,5.0,,,
145,2020-06-14,786.0,146.0,20150228010033.0,2.0,66.0,6.0,,,
146,2020-06-15,778.0,147.0,20150228010033.0,2.0,64.0,4.0,,,
147,2020-06-16,768.0,148.0,20150228010033.0,2.0,62.0,5.0,,,
148,2020-06-17,762.0,149.0,20150228010033.0,2.0,58.0,6.0,,,
149,2020-06-18,750.0,150.0,20150228010033.0,2.0,62.0,6.0,,,
150,2020-06-19,790.0,151.0,20150228010033.0,2.0,64.0,7.0,,,
151,2020-06-20,777.0,152.0,20150228010033.0,2.0,64.0,5.0,,,
152,2020-06-21,784.0,153.0,20150228010033.0,2.0,64.0,5.0,,,
153,2020-06-22,800.0,154.0,20150228010033.0,2.0,62.0,6.0,,,
154,2020-06-23,765.0,155.0,20150228010033.0,2.0,58.0,5.0,,,
155,2020-06-24,776.0,156.0,20150228010033.0,2.0,54.0,5.0,,,
156,2020-06-25,766.0,157.0,20150228010033.0,2.0,50.0,5.0,,,
157,2020-06-26,779.0,158.0,20150228010033.0,2.0,48.0,5.0,,,
158,2020-06-27,796.0,159.0,20150228010033.0,2.0,54.0,5.0,,,
159,2020-06-28,790.0,160.0,20150228010033.0,2.0,54.0,6.0,,,
160,2020-06-29,767.0,161.0,20150228010033.0,2.0,58.0,6.0,,,
161,2020-06-30,782.0,162.0,20150228010033.0,2.0,58.0,6.0,,,
162,2020-07-01,797.0,163.0,20150228010033.0,1.0,31.0,6.0,,,
163,2020-07-02,791.0,164.0,20150228010033.0,1.0,31.0,6.0,,,
164,2020-07-03,801.0,165.0,20150228010033.0,1.0,32.0,6.0,,,
165,2020-07-04,781.0,166.0,20150228010033.0,1.0,32.0,7.0,,,
